Ref(s),Qty per board,Qty for 10 boards,Buy qty (incl. spares),Description,Package,Source,Manufacturer PN,Manufacturer,Distributor PN,Unit price USD,Ext price USD,Notes
"C1A,C1B",2,20,22,10uF 50V X5R MLCC,1206,Digi-Key,CGA5L3X5R1H106M160AB,TDK,445-12883-1-ND,0.5210,11.462,"50V is load-bearing (X5R loses most of its value at 20V DC bias). +/-20% tol is fine for bulk. CHEAPER than the previous sheet's C3216X5R1H106K160AB ($0.609). 7,584 in stock."
C2,1,10,15,100nF 50V X7R MLCC,0603,Digi-Key,CC0603KRX7R9BB104,YAGEO,311-1344-1-ND,0.0550,0.825,3.2M in stock.
C5,1,10,15,1uF 50V X5R MLCC,0603,Digi-Key,UMK107BJ105KA-T,Taiyo Yuden,587-2400-1-ND,0.0810,1.215,886k in stock. Replaces the backordered Samsung CL10A105KB8NNNC.
D1,1,10,11,"TVS 22V flat clamp, 28V clamp",WSON-6 2x2,Digi-Key,TVS2200DRVR,Texas Instruments,296-52187-1-ND,0.6880,7.568,"Most expensive semi, but WSON-6 footprint has no cheap drop-in and the 22V flat clamp is what protects the CH224K on a 20V contract. 19,573 stock."
D2,1,10,12,Zener 6.2V 250mW,SOT-23,Digi-Key,BZX84C6V2LT1G,onsemi,BZX84C6V2LT1GOSCT-ND,0.1700,2.040,Priced at the qty-1 rate ($0.17) - DK's qty-10 tier is likely lower (~$0.10); the cart will show the real break. Conservative here.
"D3,D6",2,20,25,LED green clear,0603,Digi-Key,LTST-C191KGKT,Lite-On,160-1446-1-ND,0.1040,2.600,1.85M in stock.
D5,1,10,15,LED red clear,0603,Digi-Key,LTST-C191KRKT,Lite-On,160-1447-1-ND,0.1040,1.560,1.6M in stock.
J1,1,10,11,USB-C receptacle 2.0 16P SMD RA,SMD,Digi-Key,USB4105-GF-A-120,GCT,2073-USB4105-GF-A-120CT-ND,0.6760,7.436,"Same MPN as the board's LCSC part - exact footprint match. 59,075 stock."
J2,1,10,11,Terminal block 2P 5.08mm THT,THT P=5.08,Digi-Key,OSTTC022162,On Shore Technology,ED2609-ND,0.4230,4.653,"35,472 in stock."
J3,1,1,1,Header 1x40 breakaway 2.54mm (SNAP 2 PINS PER BOARD),THT P=2.54,Digi-Key,PREC040SAAN-RC,Sullins,S1012EC-40-ND,0.4900,0.490,"ONE 40-pin breakaway strip covers all 10 boards (20 pins needed) with 20 pins spare. Buying ten 2-pin headers instead costs ~6x more. 30,307 stock."
